stadium,attendance,home_team,away_team,home_goals,away_goals,Expected goals (xG),Total shots,Shots on target,Big chances,Big chances missed,Accurate passes,Fouls committed,Corners,Total shots,Shots off target,Shots on target,Blocked shots,Hit woodwork,Shots inside box,Shots outside box,Expected goals (xG),xG open play,xG set play,Non-penalty xG,xG on target (xGOT),Passes,Accurate passes,Own half,Opposition half,Accurate long balls,Accurate crosses,Throws,Touches in opposition box,Offsides,Tackles won,Interceptions,Blocks,Clearances,Keeper saves,Yellow cards,Red cards,Duels won,Ground duels won,Aerial duels won,Successful dribbles
Fuball Arena Mnchen,"65,052",Germany,Scotland,5,1,2.15,20,10,1,0,643(94%),15,5,20,5,10,5,0,10,10,2.15,1.09,0.27,1.36,3.33,683,643(94%),227,416,19(68%),5(24%),12,31,4,2,0,9(90%),2,0,16,0,34,25(42%),9(56%),6(38%)
Cologne Stadium,"41,676",Hungary,Switzerland,1,3,2.15,20,10,3,2,643(94%),9,2,20,3,10,1,0,5,1,2.15,0.91,0.34,1.25,0.98,438,643(94%),222,143,37(66%),5(25%),20,10,3,2,0,11(69%),5,5,23,4,48,32(55%),16(52%),4(50%)
Olympiastadion Berlin,"68,844",Spain,Croatia,3,0,1.25,6,2,4,2,365(83%),14,5,6,3,2,3,0,8,3,1.25,1.06,0.95,2.01,2.69,457,365(83%),229,154,20(47%),4(44%),14,21,2,1,0,10(71%),5,3,10,5,55,36(49%),19(66%),12(67%)
BVB Stadion Dortmund,"60,512",Italy,Albania,2,1,1.25,6,2,5,4,365(83%),7,5,6,5,2,7,1,12,5,1.25,1.05,0.51,1.56,1.59,809,365(83%),264,483,21(58%),7(47%),17,34,2,2,0,5(56%),15,2,6,0,31,25(61%),6(38%),9(69%)
Volksparkstadion,"48,117",Poland,Netherlands,1,2,2.01,11,5,2,2,383(84%),10,3,11,4,5,1,0,8,4,2.01,0.73,0.60,1.32,1.41,295,383(84%),130,102,12(31%),4(24%),13,17,2,0,0,9(60%),7,3,26,2,39,30(44%),9(36%),7(44%)
Stuttgart Arena,"54,000",Slovenia,Denmark,1,1,2.01,11,5,2,2,383(84%),12,5,11,7,5,2,1,5,6,2.01,0.63,0.47,1.10,0.39,311,383(84%),139,102,30(58%),5(36%),14,12,3,2,0,7(50%),13,5,30,3,35,26(58%),9(30%),3(38%)
Arena AufSchalke,"48,953",Serbia,England,0,1,1.56,17,5,0,0,747(92%),19,2,17,2,5,3,0,1,5,1.56,0.16,0.02,0.18,0.04,504,747(92%),218,220,20(45%),2(11%),19,11,0,2,0,10(77%),5,1,17,2,36,28(44%),8(36%),8(100%)
Fuball Arena Mnchen,"61,591",Romania,Ukraine,3,0,1.56,17,5,1,0,747(92%),9,4,17,2,5,2,1,3,6,1.56,0.31,0.90,1.20,1.58,237,747(92%),75,95,15(37%),1(9%),19,10,1,1,0,3(38%),6,5,31,3,37,27(46%),10(48%),11(50%)
Frankfurt Arena,"45,181",Belgium,Slovakia,0,1,1.32,12,7,4,4,232(79%),14,5,12,6,7,5,0,10,6,1.32,1.52,0.18,1.70,1.02,573,232(79%),308,180,22(50%),4(29%),18,34,2,3,0,7(50%),2,2,15,3,40,32(54%),8(44%),8(57%)
Dsseldorf Arena,"46,425",Austria,France,0,1,1.32,12,7,2,2,232(79%),18,6,12,2,7,1,0,4,2,1.32,0.66,0.10,0.76,1.50,476,232(79%),203,198,14(41%),4(15%),18,19,0,5,0,13(48%),3,5,19,3,48,40(47%),8(30%),4(36%)
BVB Stadion Dortmund,"59,127",Turkiye,Georgia,3,1,1.10,11,2,5,4,241(77%),10,5,11,7,2,7,1,11,11,1.10,2.66,0.35,3.01,3.06,573,241(77%),158,353,13(54%),4(24%),14,24,2,2,0,15(83%),6,4,18,3,47,28(42%),19(59%),3(18%)
Leipzig Stadium,"38,421",Portugal,Czechia,2,1,1.10,11,2,4,3,241(77%),6,13,11,4,2,7,0,10,9,1.10,1.79,0.06,1.85,2.28,704,241(77%),228,390,28(61%),4(14%),17,35,3,2,0,8(80%),4,2,7,0,50,26(51%),24(62%),10(50%)
Volksparkstadion,"46,784",Croatia,Albania,2,2,0.18,6,1,5,4,438(87%),15,3,6,7,1,5,0,15,7,0.18,2.01,0.68,2.68,2.92,634,438(87%),154,418,12(41%),9(31%),14,36,0,1,0,12(71%),14,6,7,5,64,44(61%),20(71%),16(76%)
Stuttgart Arena,"54,000",Germany,Hungary,2,0,0.18,6,1,3,1,438(87%),12,11,6,5,1,7,0,11,8,0.18,1.22,0.17,1.40,3.01,718,438(87%),218,450,22(73%),4(15%),12,36,0,2,0,11(65%),6,4,20,3,42,31(52%),11(48%),4(40%)
Cologne Stadium,"42,711",Scotland,Switzerland,1,1,1.20,9,5,2,2,170(72%),11,5,9,5,5,4,1,9,3,1.20,0.36,0.40,0.76,1.22,374,170(72%),169,118,23(40%),9(39%),24,25,0,3,0,5(63%),2,1,18,3,46,21(46%),25(66%),2(67%)
Fuball Arena Mnchen,"63,028",Slovenia,Serbia,1,1,1.20,9,5,2,1,170(72%),13,4,9,4,5,3,1,6,5,1.20,1.35,0.03,1.37,1.22,346,170(72%),129,140,24(44%),4(25%),17,16,0,2,0,13(68%),6,8,36,3,54,34(47%),20(51%),7(37%)
Frankfurt Arena,"46,177",Denmark,England,1,1,1.70,16,5,1,1,488(85%),13,4,16,4,5,5,0,6,10,1.70,0.38,0.43,0.82,0.79,548,488(85%),237,239,17(52%),5(31%),11,21,4,3,0,12(67%),11,1,11,3,45,26(43%),19(59%),4(50%)
Arena AufSchalke,"49,528",Spain,Italy,1,0,1.70,16,5,6,6,488(85%),17,5,16,8,5,3,2,11,9,1.70,1.81,0.21,2.02,2.10,590,488(85%),226,311,22(52%),5(29%),9,28,0,3,0,8(50%),9,0,11,1,53,44(47%),9(45%),14(44%)
Dsseldorf Arena,"43,910",Slovakia,Ukraine,1,2,0.76,6,3,2,1,401(84%),9,4,6,4,3,5,0,7,7,0.76,0.41,0.45,0.86,2.33,534,401(84%),270,210,15(38%),4(21%),22,17,2,0,0,8(89%),5,5,15,3,37,31(48%),6(35%),10(53%)
Olympiastadion Berlin,"69,455",Poland,Austria,1,3,0.76,6,3,2,1,401(84%),15,4,6,5,3,7,0,8,7,0.76,0.77,0.90,1.68,1.27,390,401(84%),197,114,11(35%),6(33%),26,13,0,4,0,5(71%),6,4,21,6,42,30(50%),12(48%),9(69%)
Leipzig Stadium,"38,531",Netherlands,France,0,0,3.01,22,8,1,1,511(89%),13,3,22,0,8,4,0,4,4,3.01,0.40,0.07,0.47,0.97,398,511(89%),236,116,12(55%),3(38%),12,12,4,1,0,7(88%),3,5,23,3,22,16(32%),6(60%),0(0%)
Volksparkstadion,"46,524",Georgia,Czechia,1,1,3.01,22,8,2,1,511(89%),12,5,22,3,8,1,0,3,2,3.01,0.33,0.28,0.33,0.99,310,511(89%),131,115,19(40%),0(0%),13,13,0,4,0,13(68%),5,7,45,11,54,43(55%),11(34%),9(41%)
BVB Stadion Dortmund,"61,047",Turkiye,Portugal,0,3,1.85,19,8,1,1,618(88%),16,9,19,4,8,4,0,4,7,1.85,0.63,0.09,0.72,0.72,433,618(88%),210,163,18(47%),2(13%),11,13,0,3,0,10(48%),8,2,13,1,44,38(49%),6(38%),10(63%)
Cologne Stadium,"42,535",Belgium,Romania,2,0,1.85,19,8,3,2,618(88%),9,7,19,5,8,6,0,14,6,1.85,1.52,0.23,1.76,3.21,431,618(88%),173,192,32(64%),1(8%),25,42,5,1,0,12(67%),7,3,22,4,53,39(56%),14(64%),10(48%)
